id,internal_order_number,online_order_number,store_name,full_channel_user_id,shipping_date,payment_date,payable_amount,paid_amount,status,consignee,spu,order_time,province,city,platform,sub_order_number,online_sub_order_number,original_online_order_number,sku,quantity,unit_price,product_name,color_and_spec,product_amount,original_price,is_gift,sub_order_status,refund_status,registered_quantity,actual_refund_quantity,brand
1,ORD-23701714,ONL-9061474755,拼多多专卖店,USER-15825,2024-03-07 19:47:00,2024-03-04 19:47:00,508.88,508.88,已完成,裘成,SPU-森马-休闲,2024-03-03 19:47:00,四川省,德阳市,拼多多,SUB-23701714-508,SONL-9061474755-561,ONL-9061474755,YC-6214,2,197.28,森马 休闲裤 (绿色/M),绿色/M,394.56,508.88,否,已完成,退款失败,2,0,森马
2,ORD-28583639,ONL-5448069926,拼多多专卖店,USER-98373,2024-08-11 13:39:00,2024-08-08 13:39:00,929.84,929.84,已取消,张雪梅,SPU-优衣-卫衣,2024-08-08 13:39:00,浙江省,杭州市,线下,SUB-28583639-408,SONL-5448069926-162,ONL-5448069926,UN-6970,3,286.8,优衣库 卫衣 (红色/S),红色/S,860.4,929.84,否,已取消,待审核,3,0,优衣库
3,ORD-42763749,ONL-6931461169,拼多多专卖店,USER-59394,2024-10-23 01:57:00,2024-10-21 01:57:00,1445.95,1445.95,待发货,李欢,SPU-耐克-风衣,2024-10-20 17:57:00,上海市,上海市,唯品会,SUB-42763749-965,SONL-6931461169-237,ONL-6931461169,UN-2738,1,1187.12,耐克 风衣 (黑色/XXXL),黑色/XXXL,1187.12,1445.95,否,待发货,退款失败,1,0,耐克
4,ORD-66964169,ONL-2139111260,京东自营店,USER-91883,2024-11-11 21:10:00,2024-11-10 21:10:00,11136.03,11136.03,已完成,张倩,SPU-安踏-T恤,2024-11-10 17:10:00,四川省,德阳市,线下,SUB-66964169-774,SONL-2139111260-178,ONL-2139111260,ZR-3838,4,1585.75,安踏 T恤 (白色/M),白色/M,6343.0,11136.03,否,已完成,已退款,4,4,安踏
5,ORD-10083793,ONL-3856038123,线下直营店,USER-34588,2024-10-09 23:51:00,2024-10-07 23:51:00,9546.41,9546.41,已完成,陈刚,SPU-李宁-T恤,2024-10-06 23:51:00,四川省,德阳市,线下,SUB-10083793-765,SONL-3856038123-893,ONL-3856038123,AD-6149,3,2720.9,李宁 T恤 (白色/M),白色/M,8162.7,9546.41,否,已完成,退款失败,3,0,李宁
6,ORD-41941744,ONL-9741329040,京东自营店,USER-77332,2024-07-27 04:22:00,2024-07-26 04:22:00,8394.89,8394.89,已取消,湛莹,SPU-耐克-T恤,2024-07-25 18:22:00,上海市,上海市,抖音电商,SUB-41941744-233,SONL-9741329040-360,ONL-9741329040,YC-5431,4,1936.11,耐克 T恤 (红色/XXL),红色/XXL,7744.44,8394.89,否,已取消,无退款,4,0,耐克
7,ORD-81991671,ONL-1109724546,京东自营店,USER-20820,2024-02-10 07:34:00,2024-02-09 07:34:00,6926.81,6926.81,已发货,苗玉梅,SPU-李宁-卫衣,2024-02-08 13:34:00,四川省,绵阳市,唯品会,SUB-81991671-618,SONL-1109724546-162,ONL-1109724546,SM-7967,3,2155.94,李宁 卫衣 (紫色/M),紫色/M,6467.82,6926.81,否,已发货,待审核,3,0,李宁
8,ORD-77563261,ONL-2643007788,拼多多专卖店,USER-67703,2024-05-17 20:53:00,2024-05-14 20:53:00,2636.34,2636.34,已发货,刘欣,SPU-森马-卫衣,2024-05-13 22:53:00,四川省,德阳市,京东,SUB-77563261-238,SONL-2643007788-371,ONL-2643007788,YC-1051,3,442.95,森马 卫衣 (蓝色/XL),蓝色/XL,1328.85,2636.34,否,已发货,无退款,3,0,森马
9,ORD-11689884,ONL-3148699111,唯品会特卖店,USER-29141,2024-05-28 17:10:00,2024-05-27 17:10:00,8140.78,8140.78,已完成,罗璐,SPU-阿迪-衬衫,2024-05-26 22:10:00,山东省,潍坊市,天猫,SUB-11689884-164,SONL-3148699111-590,ONL-3148699111,UN-8439,2,2171.15,阿迪达斯 衬衫 (红色/XXXL),红色/XXXL,4342.3,8140.78,否,已完成,已退款,2,2,阿迪达斯
10,ORD-79440547,ONL-9986347921,天猫旗舰店,USER-37366,2024-02-03 04:37:00,2024-01-31 04:37:00,3726.18,3726.18,待发货,杨丽,SPU-以纯-羽绒,2024-01-30 12:37:00,浙江省,杭州市,线下,SUB-79440547-308,SONL-9986347921-386,ONL-9986347921,AN-1983,3,1048.28,以纯 羽绒服 (绿色/XXXL),绿色/XXXL,3144.84,3726.18,否,待发货,待审核,3,0,以纯
11,ORD-67916336,ONL-7894724752,抖音直播间,USER-46087,2024-10-23 01:01:00,2024-10-20 01:01:00,7838.05,7838.05,已完成,沈萍,SPU-森马-衬衫,2024-10-19 08:01:00,湖北省,襄阳市,线下,SUB-67916336-668,SONL-7894724752-924,ONL-7894724752,AD-9935,4,1865.85,森马 衬衫 (白色/M),白色/M,7463.4,7838.05,否,已完成,退款失败,4,0,森马
12,ORD-97059245,ONL-8944562559,拼多多专卖店,USER-61976,2024-05-14 13:55:00,2024-05-12 13:55:00,17300.54,17300.54,已发货,张龙,SPU-阿迪-衬衫,2024-05-11 19:55:00,上海市,上海市,线下,SUB-97059245-136,SONL-8944562559-914,ONL-8944562559,NK-5665,4,2763.67,阿迪达斯 衬衫 (黄色/XXXL),黄色/XXXL,11054.68,17300.54,否,已发货,无退款,4,0,阿迪达斯
13,ORD-71579839,ONL-4598990043,线下直营店,USER-63443,2024-12-30 23:18:00,2024-12-29 23:18:00,3075.41,3075.41,待发货,宋秀云,SPU-耐克-羽绒,2024-12-29 18:18:00,北京市,北京市,拼多多,SUB-71579839-730,SONL-4598990043-846,ONL-4598990043,YC-7908,3,852.07,耐克 羽绒服 (紫色/XXL),紫色/XXL,2556.21,3075.41,否,待发货,待审核,3,0,耐克
